School Type,School No,School Name,Dropped/Retained,Academic Year,SSF Date,Offering,School Revenue Type,SSF Number,Status,Total Order Value (Exclusive GST),Total Order Value (Inclusive GST),ASSET Revenue,ASSETStudents,ASSET rate,CARES Revenue,CARESStudents,CARES rate,Mindspark Revenue,MindsparkStudents,Mindspark rate,Teacher Training Revenue,Payment Mode,No Of Installments,Full Payment Date,First Installment Date,First Installment Amount,Second Installment Date,Second Installment Amount,Third Installment Date,Third Installment Amount,Fourth Installment Date,Fourth Installment Amount,TDS Amount,First payment Date,Latest payment Date,To be invoiced till date,Amount Received,Due till date as per payment schedule,Total Discount %,Standard Discount %,Pre Payment Discount %,Volume Discount %,Bundle Discount %,Loyalty Discount %,ASSETRound,Ei ASSET Mode,CAREStestpack,Ei CARES Version,Ei CARES Mode Of Printing,Ei CARES Mode,Ei Mindspark Mode,Board,City,State,Division,Zone,Vertical,Program Start Date,Program End Date,Order Type,ID,Zoho CRM Account ID,Deal ID,Created Date,Added User,Modified User,SSF Creator Email,SSF Creator,CRM Account Owner,CRM Acad Consultant,Logistic Approved Date,SSF Signing Perosn Name,SSF Signing Perosn Designation,SSF Signing Perosn Mail ID,SSF Signing Perosn Phone No,School CRM Email,Principal Name,Principal Email,Principal Phone No,Coordinator Name,Coordinator Email,Coordinator Phone No,School Fees,Billing Address Line 1,Billing Address Line 2,Billing Postal Code,Shipping Address Line 1,Shipping City,Shipping State,Shipping Postal Code,TAN NO,CRM Billing Street,CRM Shipping Street
Retention School,5002617,"Sri Kumaran Children^s Academy, Bangalore",,2024,2024-05-27 00:00:00,Ei CARES,Regular,IN-2022002108,Approved By Logistic Team,285600,285600,0,0,,285600,238,1200,0,0,,0,Installments,4,,2024-06-15 00:00:00,71400,2024-08-15 00:00:00,71400,2024-10-15 00:00:00,71400,2024-12-15 00:00:00,71400,48191,2024-11-14 00:00:00,2025-01-23 00:00:00,285600,351076,-113667,0.25,0.25,,,,,0,,2,MCQ,,Online,,CBSE,Bengaluru,Karnataka,South,Karnataka/Kerala,National Sales,2024-06-01 00:00:00,2025-05-31 00:00:00,Regular School: Active school with student count and rate per student defined,22028000022677412,51788000160486325,zcrm_51788000269952464,2024-05-27 00:00:00,vineet.upadhye_ei,mitul.patel_ei1,vineet.upadhye@ei.study,Vineet upadhye,Nisha Murali,,2024-07-09 11:36:53,Mrs. Chandrakala K,Principal,chandrakala.k@kumarans.org,+918951894024,chandrakala.k@kumarans.org,,,,,,,0,"#28/4 House List, #140, Off Kanakapura Road, Doddkallasandra Post,",,560062,"#28/4 House List, #140, Off Kanakapura Road, Doddkallasandra Post,",Bengaluru,KARNATAKA,560062,BLRS02358G,"#28/4 House List, #140, Off Kanakapura Road, Doddkallasandra Post,","#28/4 House List, #140, Off Kanakapura Road, Doddkallasandra Post,"
Retention School,5002619,G.D.Goenka Public School Dakshineswar,,2024,2024-12-08 00:00:00,Ei ASSET,Regular,IN-2022002672,Approved By Logistic Team,319274,319274,319274,515,620,0,0,,0,0,,0,Full Payment,,2024-12-11 00:00:00,2000-01-01 00:00:00,0,2000-01-01 00:00:00,0,2000-01-01 00:00:00,0,2000-01-01 00:00:00,0,0,2024-12-18 00:00:00,2024-12-18 00:00:00,319274,319274,0,0.5867,0.5867,,,,,Winter Round,OMR,0,MCQ,,,,CBSE,Kolkata,West Bengal,East,West Bengal,National Sales,2024-11-01 00:00:00,2025-03-31 00:00:00,Regular School: Active school with student count and rate per student defined,22028000026753048,51788000160824211,zcrm_51788000279122240,2024-12-08 00:00:00,lopamudra.das_eiindia1,mitul.patel_ei1,lopamudra.das@ei.study,Lopamudra das,Gargi Ghosh,,2024-12-11 10:06:23,Dr. Aniruddha Bhattacharya,Principal,bgkv.kolkata@gmail.com,+918335060112,enquiry@gdgdakshineswar.com,Dr. Aniruddha Bhattacharya,viceprincipal@gdgdakshineswar.com,+918335060112,Ms Paromita Bagchi,primaryincharge@gdgdakshineswar.com,+919903200644,0,"48A, Bidyayatan Sarani",,700035,"48A, Bidyayatan Sarani",Kolkata,West Bengal,700035,,"Bidyayatan Sarani, Baranagar","48A,PWD Rd, Bidyayatan Sarani, Baranagar"
New School,5002735,SES Gurukul,,2024,2024-06-28 00:00:00,Ei ASSET,Regular,IN-2022002287,Approved By Logistic Team,391025,391025,391025,391,1000,0,0,,0,0,,0,Installments,2,,2024-07-02 00:00:00,195513,2024-07-30 00:00:00,195513,2000-01-01 00:00:00,0,2000-01-01 00:00:00,0,39169,2024-07-12 00:00:00,2024-10-21 00:00:00,391026,352524,-667,0.5553,0.5553,,,,,Summer Round,OMR,0,MCQ,,,,CBSE,Pune,Maharashtra,West,Rest of Maharashtra and Goa,National Sales,2024-08-01 00:00:00,2024-08-20 00:00:00,Regular School: Active school with student count and rate per student defined,22028000023213104,51788000162137105,zcrm_51788000270364394,2024-06-28 00:00:00,himanshu.sangatani_ei,hakim.kanchwala_eiindia1,himanshu.sangatani@ei.study,Himanshu sangatani,Nainesh Bhise,,2024-07-01 15:47:00,Maneesha J,Principal,gurukulpuneprincipal@gmail.com,+919560555404,gurukulprincipal@gmail.com,,,,,,,70000,University Road,,411016,University Road,Pune,Maharashtra,411016,,University Road,University Road
Retention School,5002748,Hopes and Dreams Trust,Dropped,2024,"2024-05-30 00:00:00, 2024-06-01 00:00:00","Ei ASSET,Ei CARES",Regular,"IN-2022002128, IN-2022002141",Approved By Logistic Team,131872,131872,63346,66,"1047, 849",68526,66,"1027, 1047",0,0,,0,Full Payment,,2024-03-31 00:00:00,2000-01-01 00:00:00,0,2000-01-01 00:00:00,0,2000-01-01 00:00:00,0,2000-01-01 00:00:00,0,"5440, 7748",2024-08-10 00:00:00,2024-08-10 00:00:00,"54394, 77478","48954, 69730",0,"0.5942000000000001, 0.6038","0.3942, 0.40380000000000005",0.1,,0.05,0.05,Summer Round,OMR,2,MCQ,Printing By EI,OMR,,CBSE,Gurgaon,Haryana,North,Delhi/Haryana,National Sales,2024-06-01 00:00:00,2025-03-31 00:00:00,Regular School: Active school with student count and rate per student defined,"22028000022730172, 22028000022758268",51788000092806131,"zcrm_51788000270147039, zcrm_51788000270147169","2024-05-30 00:00:00, 2024-06-01 00:00:00",pooja.kapoor_eiindia1,"fagun.saraiya_eiindia1, maruf.shaikh1",pooja.kapoor@ei.study,Pooja kapoor,Vaishali Yadav,Vaishali Yadav,"2024-06-24 11:24:14, 2024-06-24 15:20:24",Mrs. Garima Gulati,"Other, School Owner",garima@sitare.org,+919711226521,info@sitare.org,,,,,,,0,"1st floor, Vatika Triangle, Sushant Lok. Phase-1, MG Road",,122002,"1st floor, Vatika Triangle, Sushant Lok. Phase-1, MG Road",Gurgaon,Haryana,122002,JDHH03078F,"1st floor, Vatika Triangle, Sushant Lok. Phase-1, MG Road","1st floor, Vatika Triangle, Sushant Lok. Phase-1, MG Road"
Retention School,5004123,Adani International School,,2024,2024-08-09 00:00:00,Ei ASSET,Regular,IN-2022002412,Approved By Logistic Team,284061,284061,284061,437,650,0,0,,0,0,,0,Full Payment,,2024-03-31 00:00:00,2000-01-01 00:00:00,0,2000-01-01 00:00:00,0,2000-01-01 00:00:00,0,2000-01-01 00:00:00,0,5603,2024-10-18 00:00:00,2024-10-18 00:00:00,284061,274557,3901,0.6185,0.4685,0.1,,,0.05,Winter Round,OMR,0,MCQ,,,,IB,Ahmedabad,Gujarat,West,Gujarat,National Sales,2024-07-01 00:00:00,2025-04-30 00:00:00,Regular School: Active school with student count and rate per student defined,22028000024037040,51788000174638058,zcrm_51788000272790001,2024-08-09 00:00:00,pooja.joshi_eiindia1,fagun.saraiya_eiindia1,pooja.joshi@ei.study,Pooja joshi,Ishita Jethwa,,2024-08-20 09:22:07,Ms. Sonia,Other,sonia.raina@adaniinternational.edu.in,+919099932339,admissions@adani.com,,,,,,,0,"Shantigram, Vaishnodevi Circle, Ahmedabad",,382421,"Shantigram, Vaishnodevi Circle, Ahmedabad",Ahmedabad,Gujarat,382421,,"Shantigram, Vaishnodevi Circle, Ahmedabad","Shantigram, Vaishnodevi Circle, Ahmedabad"
Retention School,5004125,"The HDFC School, Bengaluru",,2024,2024-03-13 00:00:00,Ei ASSET,Regular,IN-2022001638,Approved By Logistic Team,276879,276879,276879,426,650,0,0,,0,0,,0,Full Payment,,2024-04-30 00:00:00,2000-01-01 00:00:00,0,2000-01-01 00:00:00,0,2000-01-01 00:00:00,0,2000-01-01 00:00:00,0,5694,2024-04-19 00:00:00,2024-04-19 00:00:00,276879,278984.1,-7799,0.5667,0.5667,,,,,Winter Round,OMR,0,MCQ,,,,CBSE,Bengaluru,Karnataka,South,Karnataka/Kerala,National Sales,2024-06-01 00:00:00,2025-03-31 00:00:00,Regular School: Active school with student count and rate per student defined,22028000021537208,51788000174827655,zcrm_51788000266711001,2024-03-13 00:00:00,dipti.jain_ei,mitul.patel_ei1,dipti.jain@ei.study,Dipti jain,Aruna,,2024-04-10 19:56:30,Ms. Shruti Nirmal,Other,shruthi.nirmal@yahoo.co.in,+919686598830,admissions.blr@thehdfcschool.com,Parvathy Seshadri,principal.blr@thehdfcschool.com,+919886311572,Shruti Nirmal,shruthi.nirmal@yahoo.co.in,+919686598830,0,"Survey No. 13, Nehru Nagar, Shivanahalli Road, Off Jakkur - Yelahanka Road,",,560064,"Survey No. 13, Nehru Nagar, Shivanahalli Road, Off Jakkur - Yelahanka Road,",Bengaluru,Karnataka,560064,RTKE01663E,"Survey No. 13, Nehru Nagar, Shivanahalli Road, Off Jakkur - Yelahanka Road,","Survey No. 13, Nehru Nagar, Shivanahalli Road, Off Jakkur - Yelahanka Road,"
Retention School,5004172,SRGVVK Trust School,,2024,2024-06-29 00:00:00,"Ei ASSET,Ei CARES,Ei Mindspark",Regular,IN-2022002295,Approved By Logistic Team,0,0,0,77,0,0,77,0,0,96,0,0,Full Payment,,2024-06-29 00:00:00,2000-01-01 00:00:00,0,2000-01-01 00:00:00,0,2000-01-01 00:00:00,0,2000-01-01 00:00:00,0,0,,,0,0,0,1,1,,,,,Both Rounds,Online,4,MCQ,,Online,Online,State Board,Bangalore,Karnataka,South,Karnataka/Kerala,National Sales,2024-06-05 00:00:00,2025-03-31 00:00:00,Regular School: Active school with student count and rate per student defined,22028000023210600,51788000175875849,zcrm_51788000270931249,2024-06-29 00:00:00,vineet.upadhye_ei,maruf.shaikh1,vineet.upadhye@ei.study,Vineet upadhye,Mohammadi Zohra,,2024-06-29 14:22:00,Maruf Shaikh,,maruf.shaikh@ei.study,+919016039311,4charityschool@gmail.com,,,,,,,0,"vaddara palaya,JP Nagar, 8th phase, 2nd block,Gottigere(P)",,560083,"vaddara palaya,JP Nagar, 8th phase, 2nd block,Gottigere(P)",Bangalore,Karnataka,560083,,"vaddara palaya,JP Nagar, 8th phase, 2nd block,Gottigere(P)","vaddara palaya,JP Nagar, 8th phase, 2nd block,Gottigere(P)"
New School,5004186,Don Bosco Higher Secondary School (Tezpur),Dropped,2024,"2024-08-14 00:00:00, 2024-09-09 00:00:00",Ei CARES,Regular,"IN-2022002424, IN-2022002481",Approved By Logistic Team,420420,420420,0,0,,420420,317,"0, 1470",0,0,,0,Installments,"2, 3",,"2024-08-26 00:00:00, 2024-09-30 00:00:00","0, 168168",2024-10-31 00:00:00,"0, 126126","2000-01-01 00:00:00, 2024-12-20 00:00:00","0, 126126",2000-01-01 00:00:00,0,"0, 3363",2024-08-22 00:00:00,2025-02-07 00:00:00,"0, 420420","0, 415587","0, 1470","0.58, 1","0.58, 1",,,,,0,,4,MCQ,Printing By EI,OMR,,State Board,Tezpur,Assam,East,North East,National Sales,2024-08-21 00:00:00,2025-03-31 00:00:00,Regular School: Active school with student count and rate per student defined,"22028000024105664, 22028000024642812",51788000176673001,zcrm_51788000272329308,"2024-08-14 00:00:00, 2024-09-09 00:00:00",anita.kamath,mitul.patel_ei1,anita.kamath@ei.study,Anita kamath,Sunny Brahma,Shramana Mukherjee,"2024-08-16 11:47:47, 2024-09-20 09:57:21",Fr. Hippoletus Toppo,Principal,donboscotezpur@gmail.com,+918811893843,donboscotezpur@gmail.com,Fr. Hippoletus Toppo,donboscotezpur@gmail.com,+918811893843,Michael Sir,donboscotezpur@gmail.com,+917085805015,19400,Near Mission Chariali,,784501,Near Mission Chariali,Tezpur,Assam,784501,,Near Mission Chariali,Near Mission Chariali
New School,500529,Navy Children School,,2024,2024-05-20 00:00:00,Ei ASSET,Regular,IN-2022002062,Approved By Logistic Team,1094225,1094225,1094225,977,1120,0,0,,0,0,,0,Installments,2,,2024-05-30 00:00:00,547113,2024-07-15 00:00:00,547113,2000-01-01 00:00:00,0,2000-01-01 00:00:00,0,109422.62,2024-06-28 00:00:00,2024-10-15 00:00:00,1094226,984801,2,0.45,0.45,,,,,Summer Round,OMR,0,MCQ,,,,CBSE,Vasco,Goa,West,Rest of Maharashtra and Goa,National Sales,2024-08-01 00:00:00,2024-08-08 00:00:00,Regular School: Active school with student count and rate per student defined,22028000022582064,51788000002737760,zcrm_51788000257889420,2024-05-20 00:00:00,himanshu.sangatani_ei,fagun.saraiya_eiindia1,himanshu.sangatani@ei.study,Himanshu sangatani,Shrikant Gehlot,,2024-06-21 17:21:18,Anupama Mehra,Principal,ncsgoa@yahoo.co.in,+919923064003,ncsgoa@yahoo.co.in,,,,,,,68000,Vasco,,403711,Vasco,Vasco,Goa,403711,BLRN05952C,Vasco,Vasco
Retention School,5014602,Vimukti Sanstha - Project DDGIC,,2024,2024-06-27 00:00:00,"Ei ASSET,Ei CARES,Ei Mindspark",Regular,IN-2022002283,Approved By Logistic Team,0,0,0,257,0,0,257,0,0,309,0,0,Installments,4,,2024-07-15 00:00:00,0,2024-09-15 00:00:00,0,2024-10-15 00:00:00,0,2024-12-31 00:00:00,0,0,,,0,0,0,1,1,,,,,Both Rounds,Online,2,MCQ,,Online,Online,UP Board,Jaipur,Uttar Pradesh,North,UP/Uttarakhand,National Sales,2024-06-05 00:00:00,2025-05-31 00:00:00,Regular School: Active school with student count and rate per student defined,22028000023204316,51788000174718895,zcrm_51788000271143027,2024-06-27 00:00:00,anshul.nagpal_ei,fagun.saraiya_eiindia1,anshul.nagpal@ei.study,Anshul nagpal,Vaishali Yadav,,2024-06-27 15:50:00,Maruf Shaikh,,maruf.shaikh@ei.study,+919016039311,ddgic123@gmail.com,,,,,,,0,"C/o Alpha Beta School, Sector 16, Pratap Nagar",,302033,bye pass road,Firozabad,Uttar Pradesh,283203,,"C/o Alpha Beta School, Sector 16, Pratap Nagar",bye pass road
Retention School,5014778,The Premia Academy,,2024,"2024-05-06 00:00:00, 2025-04-04 00:00:00","Ei ASSET, Ei CARES",Regular,"IN-2022002013, IN-2022003207",Approved By Logistic Team,472184,472184,190800,318,600,281384,201,1400,0,0,,0,Full Payment,,"2024-05-10 00:00:00, 2024-12-31 00:00:00",2000-01-01 00:00:00,0,2000-01-01 00:00:00,0,2000-01-01 00:00:00,0,2000-01-01 00:00:00,0,0,2024-05-17 00:00:00,"2024-05-17 00:00:00, 2025-05-12 00:00:00","190800, 281384","190800, 281384",0,"0.4167, 0.5","0.4167, 0.5",,,,,"0, Winter Round",Online,"0, 4",MCQ,,Online,,CBSE,Hyderabad,Telangana,South,AP/Telangana,National Sales,"2024-04-01 00:00:00, 2024-06-01 00:00:00","2025-04-30 00:00:00, 2025-05-10 00:00:00",Regular School: Active school with student count and rate per student defined,"22028000022382480, 22028000029106036",51788000192055340,"zcrm_51788000269103301, zcrm_51788000269103432","2024-05-06 00:00:00, 2025-04-04 00:00:00",chaitanya.kolluri_ei,hakim.kanchwala_eiindia1,chaitanya.kolluri@ei.study,Chaitanya kolluri,Jasper Jessie,,"2024-05-15 17:50:36, 2025-04-04 19:09:11","Mr. Ganesh, Ms. Arti Mandhania",School Owner,"artimandhania@thepremiaacademy.com, head-operations@thepremiaacademy.com","+919000162755, +919502795583",na@gmail.com,Ms. Trupti Rao,principal@thepremiaacademy.com,+919441107454,Ms.Monica Arora,hm@thepremiaacademy.com,+919441107454,0,"Pillar Number 102, 501, Road, Karwan Sahu,, Pillar Number 102, 501, Road, Karwan Sahu, Langar Houz, Attapur, Telangana",,500008,"Pillar Number 102, 501, Road, Karwan Sahu, Langar Houz, Attapur, Telangana",Hyderabad,Telangana,500008,,"Langar Houz, Attapur, Telangana","Langar Houz, Attapur, Telangana"
Retention School,5014840,K.S.N school,,2024,"2024-04-05 00:00:00, 2024-04-29 00:00:00","Ei ASSET, Ei CARES",Regular,"IN-2022001863, IN-2022001972",Approved By Logistic Team,408779,408779,356129,469,759,52650,65,810,0,0,,0,Installments,2,,2024-05-20 00:00:00,"106839, 15795",2024-08-30 00:00:00,"249290, 36855",2000-01-01 00:00:00,0,2000-01-01 00:00:00,0,"25304, 5428","2024-06-22 00:00:00, 2024-11-13 00:00:00",2025-01-16 00:00:00,"356129, 52650","331548, 48843","-1621, -723","0.1, 0.5192","0.1, 0.5192",,,,,"0, Summer Round",OMR,"0, 2",MCQ,Printing By EI,OMR,,CBSE,chennai,Tamil Nadu,South,Tamil Nadu,National Sales,"2024-04-04 00:00:00, 2024-05-01 00:00:00","2025-03-31 00:00:00, 2025-04-30 00:00:00",Regular School: Active school with student count and rate per student defined,"22028000021940192, 22028000022296312",51788000192259299,"zcrm_51788000267963129, zcrm_51788000269015174","2024-04-05 00:00:00, 2024-04-29 00:00:00","jasper.jessie_ei, vineeth.v_ei",hakim.kanchwala_eiindia1,"jasper.jessie@ei.study, vineeth.v@ei.study","Jasper jessie, Vineeth v",Gayathiri Ahobalan,,"2024-04-09 14:44:02, 2024-05-10 16:09:01",Dr. Sridhar V,Principal,principal@ksnschool.in,+919840168668,school@ksnschool.in,Dr. Sridhar V,principal@ksnschool.in,+919840168668,Soya,soya.ck@gmail.com,+919444533315,0,"No 1 South avenue , kamarajar nager, Tiruvanmayur",,600042,"No 1 South avenue , kamarajar nager, Tiruvanmayur",Chennai,Tamil Nadu,600041,CHEI00663F,"NO.1, SOUTH AVENUE, KAMARAJ NAGAR , THIRUVANMIYUR","NO.1, SOUTH AVENUE, KAMARAJ NAGAR , THIRUVANMIYUR"
New School,5014895,"Delhi Public School, Rohini",,2024,"2024-04-10 00:00:00, 2024-08-21 00:00:00","Ei ASSET, Ei Teacher Training",Regular,"50148952024.00, IN-2022002455",Approved By Logistic Team,400000,472000,0,789,0,0,0,0,0,0,0,"0, 400000",Installments,"1, 3",2024-04-10 00:00:00,"2024-04-10 00:00:00, 2024-08-21 00:00:00",0,"2024-04-10 00:00:00, 2024-10-01 00:00:00",0,"2024-04-10 00:00:00, 2024-12-23 00:00:00",0,"2000-01-01 00:00:00, 2024-04-10 00:00:00",0,0,2024-04-10 00:00:00,2024-04-10 00:00:00,"0, 400000",0,"0, 400000","0, 1","0, 1",0,0,0,0,"0, Summer Round",OMR,0,MCQ,,,,CBSE,Delhi,Delhi,North,Delhi/Haryana,National Sales,"2024-04-01 00:00:00, 2024-04-10 00:00:00","2024-04-10 00:00:00, 2025-03-31 00:00:00","Regular School: Active school with student count and rate per student defined, Regular School: Active school with teacher count and rate per teacher defined","22028000024247468, 50148952024",51788000193494062,zcrm_51788000273021068,"2024-04-10 00:00:00, 2024-08-21 00:00:00","maruf.shaikh@ei.study, vibhor.tyagi_ei","maruf.shaikh1, maruf.shaikh@ei.study","maruf.shaikh@ei.study, vibhor.tyagi@ei.study","Maruf shaikh, Vibhor tyagi",Vibhor Tyagi,"Chaitanya Kolluri, Vibhor Tyagi","2024-04-10 00:00:00, 2024-08-21 16:00:02",Mrs. Kanika Govi,Principal,maruf.shaikh@ei.study,+919811995848,principal@dpsrohini.com,,,,,,,"0, 117000","Sector-24, Phase III, Rohini,",,110085,", Sector-24, Phase III, Rohini, New Delhi-110085",Delhi,Delhi,110085,,"Sector-24, Phase III, Rohini,",", Sector-24, Phase III, Rohini, New Delhi-110085"
Retention School,5014914,BAPS Swaminarayan Vidyamandir Girls Residential School,,2024,2024-07-17 00:00:00,Ei ASSET,Regular,IN-2022002357,Approved By Logistic Team,497475,497475,497475,603,825,0,0,,0,0,,0,Full Payment,,2024-07-18 00:00:00,2000-01-01 00:00:00,0,2000-01-01 00:00:00,0,2000-01-01 00:00:00,0,2000-01-01 00:00:00,0,24874,2024-08-01 00:00:00,2024-09-04 00:00:00,497475,442530,30071,0.45,0.4,,,,0.05,Summer Round,Online,0,MCQ,,,,CBSE,Gandhinagar,Gujarat,West,Gujarat,National Sales,2024-07-01 00:00:00,2025-03-31 00:00:00,Regular School: Active school with student count and rate per student defined,22028000023611108,51788000193948634,zcrm_51788000271908001,2024-07-17 00:00:00,pooja.joshi_eiindia1,fagun.saraiya_eiindia1,pooja.joshi@ei.study,Pooja joshi,Ishita Jethwa,,2024-07-23 10:29:20,Mr. Bharat Mavadia,Principal,bharatmavadia@baps.edu.in,+919998993394,info.svmrandesan@in.baps.org,,,,,,,0,"City Pulse Cinema Lane, Koba-Gandhinagar Highway, At. Randesan",,382426,"City Pulse Cinema Lane, Koba-Gandhinagar Highway, At. Randesan",Gandhinagar,Gujarat,382426,AHMS02650E,"City Pulse Cinema Lane, Koba-Gandhinagar Highway, At. Randesan","City Pulse Cinema Lane, Koba-Gandhinagar Highway, At. Randesan"
Retention School,5014915,"Tapasvi International School, Rajkot",,2024,2024-03-28 00:00:00,Ei Mindspark,Regular,IN-2022001763,Approved By Logistic Team,562673,663954,0,0,,0,0,,562673,348,1617,0,Full Payment,,2024-03-29 00:00:00,2000-01-01 00:00:00,0,2000-01-01 00:00:00,0,2000-01-01 00:00:00,0,2000-01-01 00:00:00,0,0,2024-05-28 00:00:00,2024-05-28 00:00:00,663954,467439.67,196514,0.7467,0.5967,0.1,,,0.05,0,,0,MCQ,,,Online,CBSE,Rajkot,Gujarat,West,Gujarat,National Sales,2024-04-01 00:00:00,2025-03-31 00:00:00,Regular School: Active school with student count and rate per student defined,22028000021790200,51788000193904774,zcrm_51788000267629001,2024-03-28 00:00:00,pooja.joshi_eiindia1,sourabh.mehta_eiindia,pooja.joshi@ei.study,Pooja joshi,Ishita Jethwa,,2024-04-09 15:34:32,Mr. Amish Desai,School Owner,amish_desai2008@yahoo.com,+919825628180,tapasviinternationalschool@gmail.com,,,,Bhakti Ma'am,tapasviinternationalschool@gmail.com,+918160862053,0,"Raiya Road, Vajdigadh",,360005,"Raiya Road, Vajdigadh",Rajkot,Gujarat,Na,,"Raiya Road, Vajdigadh","Raiya Road, Vajdigadh"
New School,5015049,Nurture International School,,2024,2024-05-01 00:00:00,"Ei ASSET,Ei Mindspark, Ei CARES",Regular,"IN-2022001991, IN-2022001992",Approved By Logistic Team,1141565,1261752,338861,384,882,135000,75,1800,667704,372,1795,0,Installments,"3, 4",,"2024-05-01 00:00:00, 2024-05-10 00:00:00","27000, 45070","2024-06-10 00:00:00, 2024-07-10 00:00:00","292956, 54000","2024-09-10 00:00:00, 2024-10-10 00:00:00","394363, 54000","2000-01-01 00:00:00, 2024-12-10 00:00:00","0, 394363",0,"2023-10-16 00:00:00, 2024-05-28 00:00:00","2024-08-31 00:00:00, 2025-03-12 00:00:00","1126752, 135000","1194702, 81000","-67950, 54000","0.25, 0.4117","0.25, 0.3617",,,0.05,,"0, Winter Round",OMR,"0, 4",MCQ,,Online,Online,CBSE,Bengaluru,Karnataka,South,Karnataka/Kerala,National Sales,2024-05-01 00:00:00,2025-04-30 00:00:00,Regular School: Active school with student count and rate per student defined,"22028000022333096, 22028000022333160",51788000197341044,"zcrm_51788000263539959, zcrm_51788000269053061",2024-05-01 00:00:00,aji.thomas_eiindia,"mitul.patel_ei1, sourabh.mehta_eiindia",aji.thomas@ei.study,Aji thomas,Baskaran P,,"2024-05-10 17:32:27, 2024-05-10 17:32:34","Ms. Suma HR, Ms. Suma Hr",Principal,nisbbkdesk@nurtureinternational.in,+917899299110,nisbbkdesk@nutureschool.com,Ms. Suma Hr,nisbbkdesk@nurtureinternational.in,+917899299110,Niti,vp.nurtureinternational@gmail.com,+919742064616,74500,"9th mile stone, Hesargatta main road, Bagalgunte",,560073,"9th mile stone, Hesargatta main road, Bagalgunte",Bengaluru,Karnataka,560073,,"9th mile stone, Hesargatta main road, Bagalgunte","9th mile stone, Hesargatta main road, Bagalgunte"
New School,5015458,Billabong High International School Erode,Dropped,2024,2024-07-04 00:00:00,Ei Mindspark,Regular,IN-2022002307,Approved By Logistic Team,423784,500065,0,0,,0,0,,423784,125,3390,0,Installments,4,,2024-07-04 00:00:00,50007,2024-09-01 00:00:00,150020,2024-11-01 00:00:00,150020,2024-12-31 00:00:00,150020,0,2024-07-01 00:00:00,2024-07-01 00:00:00,500067,50000,450067,0.44439999999999996,0.44439999999999996,,,,,0,,0,MCQ,,,Online,CBSE,Erode,Tamil Nadu,South,Tamil Nadu,National Sales,2024-07-10 00:00:00,2025-04-30 00:00:00,Regular School: Active school with student count and rate per student defined,22028000023340164,51788000209405021,zcrm_51788000271423229,2024-07-04 00:00:00,praveenkumar.rajamanickam_ei,sourabh.mehta_eiindia,praveenkumar.rajamanickam@ei.study,Praveenkumar rajamanickam,Sriram Subramaniam,Vineeth T V,2024-07-05 11:59:19,Mr Vignesh .,School Owner,enquirie@billabonghighschoolerode.org,+917825905566,Principal@billabonghighschoolerode.org,Sonia Thomas,Principal@billabonghighschoolerode.org,+919087505566,Sonia Thomas,Principal@billabonghighschoolerode.org,+919087505566,100000,"Beside SIDCO, Nanjai Uthukuli,",,0,"Beside SIDCO, Nanjai Uthukuli,",Erode,Tamil Nadu,0,,"Beside SIDCO, Nanjai Uthukuli,","Beside SIDCO, Nanjai Uthukuli,"
1-year School,5015687,"Tandon International School, Barnala",Dropped,2024,2023-11-01 00:00:00,Ei Mindspark,Regular,IN-2022001233,Approved By Logistic Team,452395,533826,0,0,,0,0,,452395,259,1747,0,Installments,4,,2024-04-01 00:00:00,133457,2024-07-01 00:00:00,133457,2024-10-01 00:00:00,133457,2024-12-31 00:00:00,133457,0,2023-11-27 00:00:00,2024-09-20 00:00:00,533828,80000,453828,0.6565000000000001,0.6565000000000001,,,,,0,,0,MCQ,,,Online,ICSE,Barnala,Punjab,North,Punjab/Chandigarh,National Sales,2024-04-01 00:00:00,2025-03-31 00:00:00,Regular School: Active school with student count and rate per student defined,22028000019788516,51788000211824585,zcrm_51788000259602409,2023-11-01 00:00:00,himani.singla_ei1,sourabh.mehta_eiindia,himani.singla@ei.study,Himani singla,Bhavishya Bansal,Virender Verma,2023-11-09 15:41:51,Mr. Shiv Singla,School Owner,info@tandonschool.com,+919888340003,info@tandonschool.com,,,,,,,48000,"Near Taraksheel Chowk, Sanghera Bypass Road,",,148101,"Near Taraksheel Chowk, Sanghera Bypass Road,",Barnala,Punjab,148101,,"Near Taraksheel Chowk, Sanghera Bypass Road,","Near Taraksheel Chowk, Sanghera Bypass Road,"
